Toufassour,2007,73300,29.65225,-7.7493,Found
Nelson County,1856,73030,37.75,-85.5,Found
Uwharrie,1930,72700,35.51667,-79.96667,Found
Urua̤u,1992,72500,-14.53333,-48.76667,Found
Isoulane-n-Amahar,1945,72000,27.12917,8.66722,Found
Mafuta,1984,71500,-16.9025,30.40722,Found
Merua,1920,71400,25.48333,81.98333,Fell
Portales Valley,1998,71400,34.175,-103.295,Fell
Sierra Colorada,1995,71300,-40.8,-67.48333,Found
Tlacotepec,1903,71000,18.65,-97.55,Found
Wooramel,1969,71000,-25.65,114.21667,Found
Smithville,1840,70500,35.98333,-85.85,Found
Mahadevpur,2007,70500,27.66667,95.78333,Fell
Pe̱a Blanca Spring,1946,70000,30.125,-103.11667,Fell
Lahmada 009,1999,70000,27.16667,-9.5,Found
Smithonia,1940,69900,34,-83.16667,Found
Landes,1930,69800,38.9,-79.18333,Found
Xinyi,1975,69000,34.36667,118.33333,Found
Wu-chu-mu-ch'in,1920,68860,45.5,118,Found
Kheri Maham,1986,68500,28.97083,76.32278,Fell
Burlington,1819,68000,42.75,-75.18333,Found
Marlow,1936,68000,34.6,-97.91667,Found
Hamilton (Queensland),1966,68000,-28.48333,148.25,Found
Soledade,1986,68000,-29.05,-51.43333,Found
Springwater,1931,67600,52,-108.3,Found
Rahimyar Khan,1983,67225,28.225,70.2,Fell
Pervomaisky,1933,66000,56.63333,39.43333,Fell
Timochin,1807,65500,54.5,35.2,Fell
Sychevka,1988,65000,51.125,127.495,Found
Bocaiuva,1965,64000,-17.16667,-43.83333,Found
Signal Mountain,1919,63500,32.5,-115.5,Found
Treysa,1916,63000,50.91667,9.18333,Fell
Santa Clara,1976,63000,24.46667,-103.35,Found
DRP 88017,1988,63000,-80.06667,156.38333,Found
Tnz 072,2002,62285,24.43817,0.103,Found
Thunda,1881,62100,-25.7,143.05,Found
Covert,1896,61000,39.2,-98.78333,Found
Gold Basin,1995,61000,35.875,-114.23333,Found
Hex River Mountains,1882,60000,-33.31667,19.61667,Found
Savannah,1923,60000,35.16667,-88.18333,Found
Nicol��s Levalle,1956,60000,-38.85028,-62.87889,Found
DRPA78008,1978,59400,-80.06667,156.38333,Found
Bohumilitz,1829,59000,49.05,13.76667,Found
Piedade do Bagre,1922,59000,-18.94167,-44.98333,Found
��owicz,1935,59000,52,19.91667,Fell
Quijingue,1984,59000,-10.75,-39.21667,Found
Guadalupe y Calvo,1971,58630,26.1,-106.96667,Found
Aliskerovo,1977,58400,67.88333,167.5,Found
Ivanpah,1880,58000,35.33333,-115.31667,Found
Phillips County (stone),1901,57900,40,-99.25,Fell
Julesburg,1983,57900,39.975,-102.26667,Found
Miami,1930,57700,35.66667,-100.6,Found
Gladstone (stone),1936,57300,36.3,-104,Found
Warburton Range,1963,56930,-26.28333,126.66667,Found
Farmville,1934,56000,35.55,-77.53333,Fell
Jenkins,1946,55400,36.82444,-93.76111,Found
Ashmore,1969,55400,32.9,-102.28333,Found
Kulnine,1886,55300,-34.15,141.78333,Found
Wellman (a),1940,55000,33.03333,-102.33333,Found
Rosebud,1915,54900,30.81667,-97.05,Found
Elenovka,1951,54640,47.83333,37.66667,Fell
Aprel'sky,1969,54600,53.3,126.11667,Found
Markovka,1967,54200,52.4,79.8,Found
Veramin,1880,54000,35.33333,51.63333,Fell
Uwet,1903,54000,5.28333,8.25,Found
Chihuahua City,1929,54000,28.66667,-106.11667,Found
Dunganville,1976,54000,-42.55,171.35,Found
Kumerina,1937,53500,-24.91667,119.41667,Found
Ruff's Mountain,1844,53070,34.3,-81.4,Found
Dalton,1879,53000,34.8,-84.98333,Found
Nan Yang Pao,1917,52900,35.66667,103.5,Fell
Ahumada,1909,52600,30.7,-105.5,Found
Stannern,1808,52000,49.28333,15.56667,Fell
Benjamin,1969,51800,33.58333,-99.8,Found
Ilimaes (iron),1870,51700,-26,-70,Found
Lanc̩,1872,51700,47.7,1.06667,Fell
Grand Rapids,1883,51700,42.96667,-85.76667,Found
Leedey,1943,51500,35.88333,-99.33333,Fell
Mungindi,1897,51300,-28.93333,148.95,Found
Willow Creek,1914,51000,43.46667,-106.76667,Found
Birgi,1332,50800,38.23333,28.1,Fell
La Grange,1860,50800,38.4,-85.36667,Found
Davy (a),1940,50600,29.1,-97.6,Found
Richland,1951,50600,31.9,-96.4,Found
Santa Vitoria do Palmar,2003,50400,-33.50944,-53.41083,Found
NWA 1581,2001,50200,31.38333,-4.25,Found
Limerick,1813,50000,52.56667,-8.78333,Fell
Ausson,1858,50000,43.08333,0.58333,Fell
Aumale,1865,50000,36.16667,3.66667,Fell
Waconda,1873,50000,39.33333,-98.16667,Found
Winburg,1881,50000,-28.5,27,Found
Hinojal,1927,50000,-32.36667,-60.15,Found
Krymka,1946,50000,47.83333,30.76667,Fell
Valera,1972,50000,9.31667,-70.62833,Fell
Nuevo Mercurio,1978,50000,24.3,-102.13333,Fell
Akyumak,1981,50000,39.91667,42.81667,Fell
Wuan,1986,50000,36.75,114.25,Fell
Ingella Station,1987,50000,-25.55,142.78333,Found
HaH 153,1995,50000,28.60033,13.5775,Found
NWA 6903,2008,50000,32.37167,-6.36,Found
Dho 1654,2011,50000,18.67877,54.2876,Found
JaH 342,2006,49750,19.71458,56.54755,Found
Hraschina,1751,49000,46.1,16.33333,Fell
Agua Blanca,1938,49000,-28.91667,-66.95,Found
Mapleton,1939,49000,42.18333,-95.71667,Found
Thule,1955,48600,76.53333,-67.55,Found
Cabin Creek,1886,48500,35.5,-93.5,Fell
Crab Orchard,1887,48500,35.83333,-84.91667,Found
Bear Lodge,1931,48500,44.5,-104.2,Found
Bischt�_be,1888,48250,51.95,62.2,Found
Woodbine,1953,48200,42.34667,-90.1675,Found
Jackalsfontein,1903,48000,-32.5,21.9,Fell
Bagnone,1904,48000,44.31667,9.98333,Found
Sukhoj Liman,1987,48000,46.4,30.8,Found
Dresden (Ontario),1939,47700,42.52,-82.26,Fell
Red Rock,1976,47600,35.41667,-117.91667,Found
Roy (1933),1933,47200,35.95,-104.2,Found
Gomez,1974,47000,33.18139,-102.40139,Found
Rancho de la Pila (1882),1882,46500,24.11667,-104.3,Found
Harrisonville,1933,46500,38.65,-94.33333,Found
Cuero,1936,46500,29.01667,-97.28333,Found
Lakewood,1955,46500,32.62972,-104.35,Found
Osseo,1931,46300,47.63333,-80.08333,Found
JaH 203,2002,46200,19.983,56.41368,Found
Dumas (a),1956,46050,35.9,-101.9,Found
Linwood,1940,46000,41.43333,-96.96667,Found
A-87251,1987,46000,-72,26,Found
Peace River,1963,45760,56.13333,-117.93333,Fell
Woodward County,1923,45500,36.5,-99.5,Found
Needles,1962,45300,34.44417,-114.8325,Found
Thuathe,2002,45300,-29.33333,27.58333,Fell
Kyushu,1886,45000,32.03333,130.63333,Fell
Marjalahti,1902,45000,61.5,30.5,Fell
Kuttippuram,1914,45000,10.83333,76.03333,Fell
Sandia Mountains,1925,45000,35.25,-106.5,Found
Wellman (c),1964,45000,33.03333,-102.33333,Found
Dhajala,1976,45000,22.37778,71.42722,Fell
La Criolla,1985,45000,-31.23333,-58.16667,Fell
Vyatka,1991,45000,57.53333,49,Found
HaH 173,1996,45000,28.63667,13.1965,Found
Bensour,2002,45000,30,-7,Fell
Dho 1433,2006,44790,18.43333,54.1,Found
Saginaw,1979,44500,32.86583,-97.32306,Found
Beenham,1937,44400,36.21667,-103.65,Found
Kelly,1937,44300,40.46667,-103.03333,Found
Rodeo,1852,44000,25.33333,-104.66667,Found
Dix,1927,44000,41.23333,-103.48333,Found
Barwell,1965,44000,52.56528,-1.33972,Fell
Ust-Nyukzha,1992,44000,56.38333,120.46667,Found
DaG 610,1998,44000,26.85,16.73333,Found
Horh Uul,2001,44000,43.25,104.16667,Found
Seminole,1961,43900,32.68333,-102.61667,Found
Dho 1288,2004,43600,18.27833,54.285,Found
SaU 270,2003,43508,20.72918,57.189,Found
Staunton,1869,43500,38.21667,-79.05,Found
Tombigbee River,1859,43000,32.23333,-88.2,Found
Chilkoot,1881,43000,59.33333,-136,Found
Aggie Creek,1942,43000,64.88333,-163.16667,Found
A-881756,1988,43000,-72,26,Found
Lixian,2005,43000,29.85167,111.59833,Found
Dho 1565,2008,43000,18.2735,54.21367,Found
Merceditas,1884,42900,-26.33333,-70.28333,Found
Dho 1426,2001,42850,19.173,54.70407,Found
Joe Wright Mountain,1884,42600,35.76667,-91.5,Found
Ballinoo,1892,42200,-27.7,115.76667,Found
Macy,1984,42000,34.21667,-103.91667,Found
Piplia Kalan,1996,42000,26.03472,73.94167,Fell
Point Berliet,2001,42000,20.537,9.53783,Found
NWA 055,,42000,32.05,-3.03333,Found
Bonita Springs,1938,41800,26.26667,-81.75,Found
Anton,1965,41800,33.7825,-102.18111,Found
Karoonda,1930,41730,-35.08333,139.91667,Fell
Tieraco Creek,1922,41700,-26.33333,118.33333,Found
AH 010,2002,41539,19.86785,57.0028,Found
Cacaria,1867,41400,24.5,-104.8,Found
Clovis (no. 2),1963,41300,34.3,-103.13333,Found
Obernkirchen,1863,41000,52.26667,9.1,Found
Butler,1874,41000,38.3,-94.36667,Found
Balsas,1974,41000,-7.53133,-46.04117,Found
Buzzard Coulee,2008,41000,52.996,-109.84817,Fell
Brownfield (1937),1937,40960,33.21667,-102.18333,Found
Glenormiston,1925,40800,-22.9,138.71667,Found
Millen,1975,40800,32.83528,-81.87389,Found
Richfield,1983,40800,37.22222,-101.68139,Found
Orlovka,1928,40500,56,76.75,Found
Johnstown,1924,40300,40.35,-104.9,Fell
Pavlograd,1826,40000,48.53333,35.98333,Fell
Uberaba,1903,40000,-19.81667,-48.78333,Fell
Olmedilla de Alarc�_n,1929,40000,39.56667,-2.1,Fell
Nullarbor 001,1935,40000,-31,132,Found
El Simbolar,1938,40000,-30.63333,-64.88333,Found
Wynella,1945,40000,-28.95,148.13333,Found
Calliham,1958,40000,28.41667,-98.25,Found
Jerslev,1976,40000,55.608833,11.229167,Found
Sivas,1989,40000,39.82467,36.13583,Fell
Lohawat,1994,40000,26.96556,72.62667,Fell
Dronino,2000,40000,54.74667,41.42167,Found
Pinnaroo,1927,39400,-35.38333,140.91667,Found
Braunau,1847,39000,50.6,16.3,Fell
Shingle Springs,1869,39000,38.66667,-120.93333,Found
Guare̱a,1892,39000,38.73333,-6.01667,Fell
Manitouwabing,1962,39000,45.44,-79.87556,Found
Bechar 001,1998,39000,30.83333,-3.33333,Found
Dho 1700,2010,39000,18.86622,54.67967,Found
Weaver Mountains,1898,38800,34.25,-112.75,Found
Bunjil,1971,38750,-29.62917,116.48222,Found
Lamont,1940,38690,38.07778,-96.02639,Found
Mayfield,1972,38400,37.30833,-97.545,Found
Bellsbank,1955,38000,-28.08333,24.08333,Found
Capot Rey,2004,38000,20.12593,10.2056,Found
